iter	Passed	Remaining
0	2	1490
1	4	1381
2	6	1340
3	9	1343
4	11	1308
5	13	1301
6	15	1324
7	18	1314
8	20	1310
9	22	1309
10	24	1309
11	27	1306
12	29	1303
13	31	1310
14	34	1337
15	37	1345
16	40	1354
17	42	1360
18	45	1366
19	48	1371
20	50	1372
21	53	1366
22	55	1364
23	57	1359
24	60	1357
25	62	1353
26	64	1352
27	67	1354
28	70	1356
29	72	1354
30	74	1348
31	77	1346
32	80	1351
33	82	1348
34	84	1342
35	87	1339
36	89	1334
37	91	1328
38	94	1329
39	96	1329
40	99	1330
41	102	1329
42	104	1324
43	106	1321
44	108	1317
45	111	1317
46	114	1321
47	117	1319
48	119	1316
49	122	1315
50	124	1312
51	126	1310
52	129	1311
53	132	1309
54	134	1307
55	137	1305
56	139	1304
57	142	1301
58	144	1296
59	146	1293
60	149	1291
61	151	1288
62	153	1284
63	156	1280
64	158	1276
65	160	1272
66	163	1270
67	165	1268
68	167	1264
69	170	1260
70	172	1256
71	174	1253
72	177	1253
73	179	1251
74	182	1247
75	184	1243
76	186	1238
77	188	1234
78	190	1231
79	193	1230
80	195	1228
81	198	1224
82	200	1219
83	202	1217
84	204	1214
85	207	1211
86	209	1209
87	211	1206
88	214	1203
89	216	1199
90	218	1194
91	220	1191
92	222	1188
93	225	1189
94	228	1186
95	230	1183
96	232	1179
97	234	1175
98	236	1172
99	238	1168
100	241	1165
101	243	1163
102	245	1159
103	248	1156
104	250	1153
105	252	1150
106	254	1146
107	256	1144
108	259	1141
109	261	1138
110	263	1135
111	265	1132
112	267	1128
113	270	1125
114	272	1122
115	274	1120
116	277	1118
117	279	1114
118	281	1111
119	283	1109
120	285	1105
121	288	1102
122	290	1101
123	293	1099
124	295	1097
125	297	1093
126	299	1090
127	301	1087
128	304	1084
129	306	1081
130	308	1079
131	310	1075
132	313	1073
133	315	1070
134	317	1067
135	319	1064
136	321	1061
137	324	1060
138	326	1057
139	328	1054
140	331	1051
141	333	1049
142	335	1046
143	338	1044
144	340	1042
145	342	1039
146	344	1036
147	346	1033
148	349	1030
149	351	1027
150	353	1024
151	355	1022
152	357	1019
153	360	1016
154	362	1014
155	364	1011
156	366	1008
157	369	1006
158	371	1004
159	373	1002
160	376	1000
161	378	997
162	380	994
163	382	991
164	384	989
165	387	987
166	389	984
167	391	981
168	393	979
169	395	975
170	398	972
171	399	969
172	402	967
173	404	965
174	406	962
175	409	960
176	411	957
177	413	955
178	415	952
179	418	949
180	420	947
181	422	944
182	424	941
183	426	938
184	428	936
185	431	933
186	433	931
187	435	929
188	438	927
189	440	924
190	442	921
191	444	919
192	446	916
193	448	914
194	451	911
195	453	909
196	455	906
197	457	903
198	459	900
199	461	898
200	464	895
201	466	894
202	469	892
203	471	889
204	473	887
205	475	884
206	477	881
207	479	879
208	482	877
209	485	875
210	487	872
211	489	869
212	491	867
213	493	864
214	495	861
215	497	859
216	499	856
217	501	854
218	504	851
219	506	848
220	508	846
221	510	843
222	512	841
223	515	839
224	517	836
225	519	834
226	521	831
227	523	828
228	525	825
229	527	823
230	529	820
231	531	817
232	533	815
233	535	812
234	537	810
235	540	807
236	542	805
237	544	803
238	546	800
239	549	798
240	551	795
241	553	793
242	555	790
243	557	788
244	559	785
245	561	783
246	564	781
247	566	778
248	568	776
249	570	773
250	572	770
251	574	768
252	576	765
253	578	763
254	581	761
255	583	758
256	585	756
257	587	754
258	589	751
259	592	749
260	594	747
261	596	744
262	598	742
263	601	740
264	603	737
265	605	735
266	607	732
267	610	730
268	612	728
269	614	726
270	616	724
271	619	721
272	621	719
273	623	717
274	626	714
275	628	713
276	631	710
277	633	708
278	635	706
279	637	703
280	639	701
281	642	699
282	644	696
283	646	694
284	649	692
285	651	690
286	653	687
287	655	685
288	658	683
289	660	681
290	662	678
291	664	676
292	667	674
293	669	671
294	671	669
295	674	667
296	676	665
297	678	662
298	680	660
299	682	657
300	684	655
301	687	653
302	689	650
303	691	648
304	694	646
305	696	643
306	698	641
307	700	638
308	702	636
309	704	633
310	706	631
311	708	629
312	710	626
313	712	624
314	714	621
315	717	619
316	719	617
317	721	615
318	724	612
319	726	610
320	728	608
321	730	606
322	733	603
323	735	601
324	737	599
325	739	596
326	741	594
327	743	591
328	745	589
329	748	587
330	750	584
331	752	582
332	755	580
333	757	578
334	759	576
335	762	573
336	763	571
337	765	568
338	768	566
339	770	564
340	772	561
341	774	559
342	777	557
343	779	554
344	781	552
345	783	550
346	785	547
347	787	545
348	789	542
349	791	540
350	793	538
351	795	535
352	797	533
353	799	530
354	802	528
355	804	526
356	806	524
357	808	521
358	811	519
359	813	517
360	815	514
361	817	512
362	819	510
363	822	508
364	824	505
365	826	503
366	828	501
367	830	498
368	832	496
369	835	494
370	837	491
371	839	489
372	841	487
373	842	484
374	845	482
375	847	479
376	849	477
377	852	475
378	854	473
379	856	471
380	858	468
381	860	466
382	863	464
383	865	462
384	867	459
385	869	457
386	871	455
387	874	452
388	876	450
389	878	448
390	880	446
391	883	443
392	885	441
393	887	439
394	889	436
395	891	434
396	894	432
397	896	430
398	899	428
399	901	425
400	903	423
401	905	421
402	907	418
403	909	416
404	911	414
405	913	411
406	916	409
407	918	407
408	920	405
409	922	402
410	924	400
411	926	398
412	928	395
413	931	393
414	933	391
415	935	389
416	937	386
417	939	384
418	942	382
419	944	380
420	946	377
421	948	375
422	950	373
423	953	370
424	955	368
425	957	366
426	959	364
427	961	361
428	964	359
429	966	357
430	968	355
431	970	352
432	972	350
433	974	348
434	977	346
435	979	343
436	981	341
437	984	339
438	986	337
439	988	334
440	990	332
441	993	330
442	995	328
443	997	325
444	1000	323
445	1002	321
446	1004	319
447	1006	316
448	1008	314
449	1011	312
450	1013	310
451	1015	307
452	1017	305
453	1020	303
454	1022	300
455	1024	298
456	1026	296
457	1028	294
458	1030	291
459	1032	289
460	1035	287
461	1037	285
462	1039	282
463	1042	280
464	1045	278
465	1047	276
466	1049	274
467	1051	271
468	1053	269
469	1056	267
470	1058	265
471	1060	262
472	1063	260
473	1065	258
474	1067	256
475	1069	253
476	1071	251
477	1074	249
478	1076	247
479	1078	244
480	1081	242
481	1083	240
482	1085	238
483	1087	235
484	1090	233
485	1092	231
486	1094	229
487	1096	226
488	1098	224
489	1101	222
490	1103	220
491	1106	218
492	1108	215
493	1110	213
494	1112	211
495	1114	209
496	1117	206
497	1119	204
498	1122	202
499	1125	200
500	1127	198
501	1129	195
502	1132	193
503	1134	191
504	1137	189
505	1140	187
506	1142	184
507	1145	182
508	1147	180
509	1149	178
510	1152	175
511	1155	173
512	1157	171
513	1159	169
514	1161	166
515	1164	164
516	1166	162
517	1169	160
518	1171	157
519	1173	155
520	1175	153
521	1178	151
522	1180	148
523	1182	146
524	1184	144
525	1188	142
526	1192	140
527	1195	138
528	1199	136
529	1203	133
530	1206	131
531	1210	129
532	1213	127
533	1215	125
534	1218	123
535	1222	120
536	1224	118
537	1227	116
538	1229	114
539	1231	111
540	1234	109
541	1236	107
542	1238	104
543	1240	102
544	1242	100
545	1244	98
546	1246	95
547	1249	93
548	1251	91
549	1253	88
550	1255	86
551	1257	84
552	1260	82
553	1262	79
554	1264	77
555	1266	75
556	1269	72
557	1271	70
558	1273	68
559	1276	66
560	1278	63
561	1281	61
562	1284	59
563	1286	57
564	1288	54
565	1290	52
566	1292	50
567	1295	47
568	1297	45
569	1299	43
570	1301	41
571	1303	38
572	1305	36
573	1307	34
574	1309	31
575	1311	29
576	1314	27
577	1316	25
578	1318	22
579	1320	20
580	1323	18
581	1325	15
582	1327	13
583	1330	11
584	1332	9
585	1334	6
586	1336	4
587	1339	2
588	1341	0
